listing_id,host_id,host_name,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_identity_verified,city,neighbourhood,district,latitude,longitude,room_type,accommodates,bathrooms,bedrooms,beds,amenity_score,number_of_reviews,review_scores_rating,license,instant_bookable,monthly_earning_€,type
75609,401552,Mercedes,1.0,0.88,F,2,2,F,Madrid,Embajadores,Centro,40.40892,-3.69697,Entire place,3,1,1,2,2,56,4.76,T,T,1777.545,airbnb
199016,967721,Santi,0.75,0.14,F,2,2,T,Madrid,Universidad,Centro,40.4257,-3.70383,Private room,1,1,1,1,1,25,4.46,T,F,388.08,airbnb
318826,1636378,Francisco Tomas,1.0,1.0,T,1,1,F,Madrid,Aluche,Latina,40.39577,-3.75985,Entire place,4,1,3,3,4,16,4.93,T,F,891.0,airbnb
339813,1713273,Antonio,0.0,0.0,F,2,2,T,Madrid,Cortes,Centro,40.41204,-3.6975,Entire place,6,1,2,3,0,2,0.0,T,F,79.2,airbnb
345233,1095831,Rosalind  & Tino,0.0,0.0,F,5,5,T,Madrid,Universidad,Centro,40.42504,-3.704,Private room,2,1,1,0,1,4,5.0,T,F,2113.155,airbnb
416705,1958516,Almu Y Santi,0.3,0.6,F,2,2,T,Madrid,Entrevías,Puente de Vallecas,40.379,-3.67423,Private room,2,1,1,1,0,66,4.75,T,F,326.7,airbnb
425616,1724674,Servi-Madrid Servicios&Reformas,0.5,0.0,F,1,1,T,Madrid,Ibiza,Retiro,40.41999,-3.67493,Entire place,4,2,2,2,2,15,4.47,T,F,2227.5,airbnb
442986,2201302,Cesar,0.0,0.0,F,0,0,T,Madrid,Justicia,Centro,40.42389,-3.6977,Entire place,2,1,2,3,2,18,4.59,T,F,207.9,airbnb
547050,2690005,Ulia,0.0,0.0,F,1,1,F,Madrid,Ibiza,Retiro,40.42159,-3.67713,Private room,1,1,1,1,1,1,3.0,T,F,1181.0700000000002,airbnb
549664,2702003,Arancha,0.0,0.0,F,1,1,F,Madrid,Casco Histórico de Vallecas,Villa de Vallecas,40.37057,-3.61511,Private room,1,1,1,1,2,1,0.0,T,T,1308.2142857142858,airbnb
647376,1091014,Carlos Joaquín,1.0,0.0,F,6,6,T,Madrid,Palacio,Centro,40.41163,-3.70822,Entire place,4,1,2,0,3,16,4.69,T,F,1636.47,airbnb
680784,3466426,Pedro,0.0,0.0,F,1,1,F,Madrid,Universidad,Centro,40.42136,-3.70541,Private room,2,1,1,1,1,7,4.83,T,F,531.63,airbnb
682889,150072,Esther,1.0,0.0,F,1,1,T,Madrid,Embajadores,Centro,40.4064,-3.70898,Entire place,1,1,1,1,2,0,0.0,T,F,1425.6,airbnb
692855,3544353,Miguel,0.0,0.0,F,1,1,T,Madrid,Palacio,Centro,40.41261,-3.7088,Entire place,4,1,1,2,2,222,4.85,T,F,2079.0,airbnb
750257,130907,Dana,0.25,0.5,F,3,3,F,Madrid,Universidad,Centro,40.42057,-3.70486,Entire place,2,1,1,1,2,23,4.26,T,F,1893.375,airbnb
759575,690223,Alejandro,1.0,1.0,F,1,1,T,Madrid,Justicia,Centro,40.42333,-3.69989,Entire place,5,2,2,5,1,58,4.29,T,F,1697.85,airbnb
970485,5302455,Teressa,0.0,0.0,F,1,1,T,Madrid,Jerónimos,Retiro,40.41835,-3.68955,Entire place,16,5,5,13,2,83,4.9,T,T,9702.0,airbnb
1094899,6015437,Antonio,0.0,0.0,F,1,1,F,Madrid,Peñagrande,Fuencarral - El Pardo,40.47972,-3.73216,Private room,2,1,1,1,1,0,0.0,T,F,148.5,airbnb
1153128,6319722,Alejandra,0.8,1.0,F,2,2,T,Madrid,Trafalgar,Chamberí,40.43752,-3.70019,Private room,1,1,1,0,2,21,4.79,T,F,1023.66,airbnb
1263329,4304796,Aaron,0.0,0.0,F,3,3,T,Madrid,Delicias,Arganzuela,40.39848,-3.69692,Private room,3,1,1,0,1,333,4.86,T,F,1199.484,airbnb
1361648,7392246,Santiago,0.5,0.0,F,1,1,F,Madrid,Embajadores,Centro,40.40856,-3.70269,Private room,2,1,1,1,0,10,4.86,T,T,34.65,airbnb
1656392,8242728,Sofia,0.0,0.0,F,2,2,F,Madrid,Jerónimos,Retiro,40.40901,-3.68895,Private room,1,1,1,1,2,54,4.17,T,F,49.5,airbnb
1678262,8879010,Jose,1.0,1.0,F,1,1,T,Madrid,Universidad,Centro,40.42192,-3.70427,Entire place,3,1,1,2,2,45,4.64,T,F,332.64,airbnb
1704065,8996173,Maria Luisa,0.57,0.0,T,1,1,F,Madrid,Embajadores,Centro,40.41135,-3.69868,Entire place,7,1,2,4,2,331,4.5,T,F,1940.4,airbnb
1717787,4587865,Xavi,0.57,0.67,F,1,1,T,Madrid,Sol,Centro,40.4156,-3.70415,Entire place,5,2,2,3,0,109,4.48,T,T,2752.2,airbnb
1886633,9814959,Ramon,1.0,0.98,F,1,1,T,Madrid,Palacio,Centro,40.41793,-3.71183,Entire place,4,2,2,3,2,0,0.0,T,T,10989.0,airbnb
2895896,14800337,Laura,0.5,0.0,F,1,1,T,Madrid,Embajadores,Centro,40.41047,-3.7089,Entire place,2,1,2,2,1,22,4.48,T,F,2633.4,airbnb
3197869,16205347,Gema E Igor,0.0,0.0,F,1,1,T,Madrid,Ciudad Universitaria,Moncloa - Aravaca,40.44739,-3.71322,Entire place,4,2,2,3,3,23,4.96,T,F,2253.35,airbnb
3360988,16955115,Javier,0.0,0.0,F,1,1,F,Madrid,Delicias,Arganzuela,40.39972,-3.69364,Private room,2,1,1,1,2,56,4.91,T,F,1038.96,airbnb
3532218,7872075,Cátia,0.0,0.0,F,1,1,T,Madrid,Acacias,Arganzuela,40.40097,-3.70109,Private room,1,1,1,1,2,28,4.93,T,F,1053.9374999999998,airbnb
3745053,11172003,Belen,0.0,0.0,F,10,10,T,Madrid,Trafalgar,Chamberí,40.42883,-3.69649,Private room,1,6,1,1,2,0,0.0,T,F,89.1,airbnb
4290526,22273662,Jorge,0.0,0.0,F,1,1,T,Madrid,Hispanoamérica,Chamartín,40.45446,-3.66849,Private room,2,2,1,1,1,45,4.71,T,F,1211.7599999999998,airbnb
4300491,22324342,Antonino,0.0,0.0,F,1,1,T,Madrid,Butarque,Villaverde,40.34322,-3.68351,Private room,1,1,1,1,1,12,4.67,T,F,43.56,airbnb
4327734,7236110,Abraham,0.0,0.0,F,1,1,F,Madrid,Universidad,Centro,40.42498,-3.70997,Private room,1,1,1,1,1,0,0.0,T,F,94.05,airbnb
4338303,9323145,Arsenio,0.0,0.0,F,1,1,T,Madrid,Fuente del Berro,Salamanca,40.42639,-3.66674,Entire place,3,1,1,2,2,23,4.61,T,F,2016.3,airbnb
4413759,8663665,Javier,1.0,0.0,F,1,1,T,Madrid,Palacio,Centro,40.41766,-3.70881,Entire place,2,1,1,1,3,46,4.74,T,F,356.4,airbnb
4812872,24787953,Iria,0.0,0.0,F,1,1,F,Madrid,Universidad,Centro,40.42852,-3.71445,Entire place,2,1,1,1,1,42,4.7,T,F,1957.3125,airbnb
4876909,25088891,Marisol,0.8,0.7,T,1,1,T,Madrid,Prosperidad,Chamartín,40.44292,-3.67562,Entire place,5,1,2,3,3,111,4.62,T,F,1237.5,airbnb
5083805,26258421,Rosa,0.0,0.0,F,1,1,T,Madrid,Argüelles,Moncloa - Aravaca,40.43178,-3.71738,Private room,3,2,1,1,1,2,0.0,T,F,94.05,airbnb
5105790,26382322,Pablus,0.0,0.0,F,1,1,F,Madrid,Embajadores,Centro,40.41098,-3.70126,Entire place,2,1,1,1,1,39,4.33,T,T,1358.28,airbnb
5111331,7746124,Álvar,1.0,1.0,F,1,1,T,Madrid,Sol,Centro,40.41401,-3.70757,Entire place,2,1,1,1,1,58,4.88,T,F,2788.2525,airbnb
5225035,27037481,Amaya,1.0,0.0,T,1,1,T,Madrid,Embajadores,Centro,40.41213,-3.70117,Entire place,3,1,1,0,1,48,4.69,T,T,1957.3125,airbnb
5417939,28085895,Oski,0.0,0.0,F,1,1,T,Madrid,Imperial,Arganzuela,40.41327,-3.71866,Private room,1,1,1,1,2,66,4.77,T,F,247.5,airbnb
5440261,23656496,Miguel,0.0,1.0,F,2,2,T,Madrid,Quintana,Ciudad Lineal,40.43667,-3.64571,Private room,1,1,1,1,1,11,4.82,T,F,531.0,airbnb
5672272,606925,Noelia,1.0,0.6,T,3,3,T,Madrid,Embajadores,Centro,40.4107,-3.7057,Entire place,4,1,1,2,1,183,4.72,T,T,1179.09,airbnb
6140219,1738341,Guillermo,0.89,0.64,F,2,2,T,Madrid,Embajadores,Centro,40.40808,-3.70007,Entire place,6,1,1,3,2,56,4.09,T,F,866.25,airbnb
6215979,9430153,Emilio,0.0,0.0,F,1,1,T,Madrid,Atocha,Arganzuela,40.40152,-3.68443,Private room,2,1,1,2,0,8,4.83,T,F,874.665,airbnb
6244218,17241162,Natalia,0.0,0.0,F,1,1,T,Madrid,Embajadores,Centro,40.41343,-3.70512,Private room,2,1,1,1,0,161,4.8,T,F,1103.52,airbnb
6413102,4473761,Mari Carmen,0.0,0.0,F,2,2,F,Madrid,Campamento,Latina,40.39786,-3.76865,Private room,1,1,1,1,1,26,4.73,T,F,49.5,airbnb
