id,city,district,neighbourhood,latitude,longitude,house_type_id,street_name,street_number,rooms,bathrooms,floor,sq_mt,built_year,heating,aircon,lift,exterior,garden,pool,terrace,balcony,storage_room,rent_price_€,buy_price_€,sq_m_price_€/m2,type
14331,Madrid,Arganzuela,Acacias,40.40097,-3.70109,Pisos,Calle de Martín de Vargas,0,3,2.0,3,85.0,1974,1,0,1,0,0,0,1,0,0,3108,381000,4208.0,sale
14332,Madrid,Arganzuela,Acacias,40.40097,-3.70109,Desconocido,Calle del Labrador,0,0,1.0,2,25.0,1920,1,1,0,0,0,0,0,0,0,1256,154000,4208.0,sale
14333,Madrid,Arganzuela,Acacias,40.40097,-3.70109,Pisos,Paseo de las Acacias,0,2,2.0,4,52.0,1942,1,1,0,1,0,0,1,0,0,2194,269000,4208.0,sale
14334,Madrid,Arganzuela,Acacias,40.40097,-3.70109,Pisos,Calle de las Peñuelas,0,3,1.0,0,85.0,1977,1,0,1,1,0,0,1,0,0,3251,398560,4208.0,sale
14335,Madrid,Arganzuela,Acacias,40.40097,-3.70109,Pisos,Calle Embajadores,86,3,2.0,2,135.0,1965,1,0,1,1,0,0,1,1,0,3670,450000,4208.0,sale
14336,Madrid,Arganzuela,Acacias,40.40097,-3.70109,Pisos,Paseo de las Yeserías,0,4,2.0,2,153.0,1986,1,1,1,1,0,0,1,0,1,4323,530000,4208.0,sale
14337,Madrid,Arganzuela,Acacias,40.40097,-3.70109,Pisos,Ronda de Toledo,0,1,1.0,3,52.0,9999,1,1,0,1,0,0,0,0,1,1623,199000,4208.0,sale
14338,Madrid,Arganzuela,Acacias,40.40097,-3.70109,Pisos,Calle de Toledo,0,3,2.0,5,130.0,9999,1,1,1,1,0,0,0,0,0,3467,425000,4208.0,sale
14339,Madrid,Arganzuela,Acacias,40.40097,-3.70109,Pisos,Naves,0,2,1.0,0,80.0,1980,1,1,1,1,0,0,0,0,0,2365,290000,4208.0,sale
14340,Madrid,Arganzuela,Acacias,40.40097,-3.70109,Pisos,Calle de Martín de Vargas,18,3,2.0,3,102.0,1960,1,1,1,0,0,0,1,0,0,2977,365000,4208.0,sale
14341,Madrid,Arganzuela,Acacias,40.40097,-3.70109,Pisos,Calle de Santocildes,0,3,3.0,5,115.0,1958,1,1,1,1,0,0,1,0,0,4560,559000,4208.0,sale
14342,Madrid,Arganzuela,Acacias,40.40097,-3.70109,Pisos,Calle del Labrador,0,2,1.0,3,56.0,9999,0,0,0,1,0,0,0,0,0,1485,182100,4208.0,sale
14343,Madrid,Arganzuela,Acacias,40.40097,-3.70109,Pisos,Paseo de Santa María de la Cabeza,0,2,1.0,2,48.0,9999,0,1,1,1,0,0,0,0,0,1754,215000,4208.0,sale
14344,Madrid,Arganzuela,Acacias,40.40097,-3.70109,Pisos,Paseo de la Esperanza,0,2,1.0,3,40.0,9999,0,1,0,0,0,0,0,0,0,1060,129900,4208.0,sale
14345,Madrid,Arganzuela,Acacias,40.40097,-3.70109,Pisos,Peñuelas,0,3,2.0,1,114.0,1965,1,0,1,1,0,0,1,0,0,2814,345000,4208.0,sale
14346,Madrid,Arganzuela,Acacias,40.40097,-3.70109,Áticos,Paseo de las Acacias,0,2,1.0,6,33.0,1900,0,0,1,1,0,0,1,0,0,2920,358000,4208.0,sale
14347,Madrid,Arganzuela,Acacias,40.40097,-3.70109,Pisos,Calle de Melilla,8,4,2.0,2,111.0,1973,0,1,1,1,0,0,0,0,0,3581,439000,4208.0,sale
14348,Madrid,Arganzuela,Acacias,40.40097,-3.70109,Pisos,Paseo Santa Maria de la Cabeza,0,2,1.0,2,65.0,9999,1,0,0,1,0,0,0,1,1,1713,210000,4208.0,sale
14349,Madrid,Arganzuela,Acacias,40.40097,-3.70109,Pisos,Paseo de Santa María de la Cabeza,0,2,1.0,2,65.0,9999,1,0,0,1,0,0,0,1,1,1713,210000,4208.0,sale
14350,Madrid,Arganzuela,Acacias,40.40097,-3.70109,Pisos,Calle de Arganda,0,3,2.0,4,135.0,9999,0,1,1,1,0,0,1,0,0,3662,449000,4208.0,sale
14351,Madrid,Arganzuela,Acacias,40.40097,-3.70109,Dúplex,Paseo de las Yeserías,31,3,2.0,7,118.0,1980,1,1,1,1,0,0,1,0,1,4070,499000,4208.0,sale
14352,Madrid,Arganzuela,Acacias,40.40097,-3.70109,Dúplex,Paseo DE LAS ACACIAS,0,4,2.0,5,147.0,1991,1,0,1,1,0,1,1,0,0,9213,1129500,4208.0,sale
14353,Madrid,Arganzuela,Acacias,40.40097,-3.70109,Pisos,Paseo de las Yeserías,0,3,2.0,1,114.0,1999,1,0,1,1,0,1,0,0,0,4323,530000,4208.0,sale
14354,Madrid,Arganzuela,Acacias,40.40097,-3.70109,Pisos,Paseo de las Yeserías,0,3,2.0,1,114.0,1999,1,0,1,1,0,1,1,0,0,4486,550000,4208.0,sale
14355,Madrid,Arganzuela,Acacias,40.40097,-3.70109,Dúplex,"Paseo de las Yeserías, Madrid",0,3,2.0,7,118.0,1980,1,1,1,1,0,0,1,0,1,4070,499000,4208.0,sale
14356,Madrid,Arganzuela,Acacias,40.40097,-3.70109,Áticos,Ronda de Toledo,0,1,1.0,5,51.0,1925,1,0,0,1,0,0,0,0,0,1256,154000,4208.0,sale
14357,Madrid,Arganzuela,Acacias,40.40097,-3.70109,Pisos,Paseo de Santa María de la Cabeza,0,3,2.0,1,114.0,9999,1,1,1,1,0,0,1,0,1,3744,459000,4208.0,sale
14358,Madrid,Arganzuela,Acacias,40.40097,-3.70109,Pisos,Paseo de las Acacias,0,3,2.0,5,106.0,1994,1,0,1,1,0,0,1,0,0,4201,515000,4208.0,sale
14359,Madrid,Arganzuela,Acacias,40.40097,-3.70109,Pisos,Ronda de Toledo,20,2,2.0,3,96.0,1998,1,1,1,1,0,0,0,0,1,3467,425000,4208.0,sale
14360,Madrid,Arganzuela,Acacias,40.40097,-3.70109,Pisos,Paseo de Santa María de la Cabeza,0,3,2.0,1,114.0,1977,1,1,1,1,0,0,1,0,1,3907,479000,4208.0,sale
14361,Madrid,Arganzuela,Acacias,40.40097,-3.70109,Pisos,Calle de Arganda,0,3,2.0,3,107.0,1981,1,1,1,1,0,0,1,0,0,4176,512000,4208.0,sale
14362,Madrid,Arganzuela,Acacias,40.40097,-3.70109,Pisos,Calle de Embajadores,106 -108,3,2.0,4,95.0,9999,1,0,1,1,0,0,0,0,0,2773,340000,4208.0,sale
14363,Madrid,Arganzuela,Acacias,40.40097,-3.70109,Pisos,Paseo de la Esperanza,0,4,2.0,1,133.0,9999,1,1,1,1,0,0,0,0,1,4405,540000,4208.0,sale
14364,Madrid,Arganzuela,Acacias,40.40097,-3.70109,Pisos,Paseo de las Acacias,0,2,1.0,1,40.0,9999,1,0,1,1,0,0,0,0,1,1142,140000,4208.0,sale
14365,Madrid,Arganzuela,Acacias,40.40097,-3.70109,Pisos,Paseo de las Acacias,49,3,2.0,0,100.0,1996,1,0,1,1,0,0,0,0,0,3548,435000,4208.0,sale
14366,Madrid,Arganzuela,Acacias,40.40097,-3.70109,Pisos,Calle de Valdelasierra,11,3,2.0,1,118.0,1994,1,1,1,1,0,0,1,0,1,3634,445500,4208.0,sale
14367,Madrid,Arganzuela,Acacias,40.40097,-3.70109,Pisos,"Paseo de la Esperanza, Madrid",0,2,1.0,3,63.0,1940,1,1,1,1,0,0,0,0,0,2325,285000,4208.0,sale
14368,Madrid,Arganzuela,Acacias,40.40097,-3.70109,Pisos,Calle Arquitectura,0,3,1.0,6,83.0,1965,1,1,1,0,0,0,0,0,0,2439,299000,4208.0,sale
14369,Madrid,Arganzuela,Acacias,40.40097,-3.70109,Pisos,Calle de Embajadores,0,4,2.0,2,102.0,1970,1,0,1,1,0,0,0,1,0,2928,359000,4208.0,sale
14370,Madrid,Arganzuela,Acacias,40.40097,-3.70109,Pisos,Paseo de Santa María de la Cabeza,92,2,1.0,7,97.0,1965,1,1,1,1,0,0,1,0,0,2520,309000,4208.0,sale
14371,Madrid,Arganzuela,Acacias,40.40097,-3.70109,Desconocido,Calle de Martín de Vargas,0,0,2.0,0,139.0,2006,0,1,0,1,0,0,1,0,0,3630,445000,4208.0,sale
14372,Madrid,Arganzuela,Acacias,40.40097,-3.70109,Pisos,Calle de Carvajales,0,1,1.0,0,74.0,9999,1,0,1,1,0,0,0,0,0,1794,220000,4208.0,sale
14373,Madrid,Arganzuela,Acacias,40.40097,-3.70109,Pisos,Calle Martín de Vargas,36,2,1.0,7,90.0,9999,1,1,1,1,0,0,1,0,0,2610,320000,4208.0,sale
14374,Madrid,Arganzuela,Acacias,40.40097,-3.70109,Pisos,Calle SAN ANASTASIO,0,3,2.0,4,125.0,9999,1,1,1,1,0,0,1,0,0,4282,525000,4208.0,sale
14375,Madrid,Arganzuela,Acacias,40.40097,-3.70109,Pisos,Calle ARGANDA,0,3,2.0,4,137.0,1981,1,0,1,1,0,0,1,0,0,3662,449000,4208.0,sale
14376,Madrid,Arganzuela,Acacias,40.40097,-3.70109,Dúplex,Ercilla,0,3,2.0,0,160.0,9999,1,0,0,1,0,0,0,0,0,2855,350000,4208.0,sale
14377,Madrid,Arganzuela,Acacias,40.40097,-3.70109,Pisos,Paseo de las Acacias,0,2,1.0,1,78.0,1945,1,0,0,1,0,0,0,0,0,2202,270000,4208.0,sale
14378,Madrid,Arganzuela,Acacias,40.40097,-3.70109,Pisos,Ercilla,0,1,1.0,0,65.0,2005,1,1,1,1,0,0,0,0,0,1566,192000,4208.0,sale
14379,Madrid,Arganzuela,Acacias,40.40097,-3.70109,Pisos,Calle de Toledo,0,3,2.0,5,110.0,1974,1,0,1,1,0,1,1,0,0,3997,490000,4208.0,sale
14380,Madrid,Arganzuela,Acacias,40.40097,-3.70109,Pisos,Paseo de las Acacias,0,3,3.0,5,121.0,1958,1,0,1,1,0,0,1,1,0,4323,530000,4208.0,sale
14381,Madrid,Arganzuela,Acacias,40.40097,-3.70109,Pisos,Calle Moratines,8,4,2.0,1,130.0,9999,0,1,1,1,0,0,0,0,0,3181,390000,4208.0,sale
14382,Madrid,Arganzuela,Acacias,40.40097,-3.70109,Pisos,Calle de las Peñuelas,0,1,1.0,1,35.0,9999,1,1,1,1,0,0,0,0,0,1223,150000,4208.0,sale
14383,Madrid,Arganzuela,Acacias,40.40097,-3.70109,Áticos,Paseo de las Acacias,0,2,1.0,6,120.0,9999,1,1,1,1,0,1,1,0,0,4853,595000,4208.0,sale
14384,Madrid,Arganzuela,Acacias,40.40097,-3.70109,Pisos,Calle de Martín de Vargas,0,3,2.0,2,109.0,1990,1,1,1,1,0,0,0,0,0,4486,550000,4208.0,sale
14385,Madrid,Arganzuela,Acacias,40.40097,-3.70109,Pisos,Arquitectura,0,1,1.0,4,40.0,1940,1,1,1,1,0,0,0,0,0,1786,219000,4208.0,sale
14386,Madrid,Arganzuela,Acacias,40.40097,-3.70109,Pisos,Calle de Martín de Vargas,0,4,2.0,1,103.0,1950,1,0,1,1,0,0,1,0,0,3059,375000,4208.0,sale
14387,Madrid,Arganzuela,Acacias,40.40097,-3.70109,Pisos,Calle CARVAJALES,0,1,1.0,0,74.0,9999,0,0,0,1,0,0,0,0,0,1794,220000,4208.0,sale
14388,Madrid,Arganzuela,Acacias,40.40097,-3.70109,Pisos,Calle de Arganda,0,3,2.0,4,100.0,1982,1,1,1,1,0,0,1,0,0,3662,449000,4208.0,sale
14389,Madrid,Arganzuela,Acacias,40.40097,-3.70109,Pisos,Calle de Ercilla,32,3,2.0,1,98.0,1978,1,0,1,1,0,0,0,0,0,2651,325000,4208.0,sale
14390,Madrid,Arganzuela,Acacias,40.40097,-3.70109,Pisos,Arquitectura,0,1,1.0,4,40.0,1940,1,1,1,1,0,0,0,0,0,1786,219000,4208.0,sale
14391,Madrid,Arganzuela,Acacias,40.40097,-3.70109,Áticos,Paseo de Juan Antonio Vallejo-Nájera Botas,41,2,2.0,5,150.0,1994,1,1,1,1,0,1,1,1,1,5546,680000,4208.0,sale
14392,Madrid,Arganzuela,Acacias,40.40097,-3.70109,Pisos,Calle del Gasómetro,12,3,2.0,2,112.0,1991,1,1,1,1,0,1,1,0,0,5057,620000,4208.0,sale
14393,Madrid,Arganzuela,Acacias,40.40097,-3.70109,Pisos,Calle Arquitectura,15,4,2.0,2,125.0,1970,1,0,1,0,0,0,0,1,0,3548,435000,4208.0,sale
14394,Madrid,Arganzuela,Acacias,40.40097,-3.70109,Pisos,Arquitectura,0,1,1.0,0,28.0,1940,1,0,1,1,0,0,0,0,0,1101,135000,4208.0,sale
14395,Madrid,Arganzuela,Acacias,40.40097,-3.70109,Pisos,Calle del Labrador,21,1,1.0,0,43.0,9999,1,1,1,0,0,0,1,0,0,1631,199900,4208.0,sale
14396,Madrid,Arganzuela,Acacias,40.40097,-3.70109,Pisos,Calle de Martín de Vargas,10,2,1.0,2,59.0,9999,1,0,1,0,0,0,0,1,0,2039,250000,4208.0,sale
14397,Madrid,Arganzuela,Acacias,40.40097,-3.70109,Dúplex,Paseo de las Acacias,11,2,1.0,1,48.0,9999,1,1,1,0,0,0,0,1,0,1672,205000,4208.0,sale
14398,Madrid,Arganzuela,Acacias,40.40097,-3.70109,Desconocido,Calle de las Penuelas,34,0,1.0,3,35.0,9999,0,0,0,0,0,0,0,0,0,1550,190000,4208.0,sale
14399,Madrid,Arganzuela,Acacias,40.40097,-3.70109,Pisos,Paseo de los Olmos,0,3,2.0,1,120.0,1974,1,1,1,1,0,1,1,1,1,4405,540000,4208.0,sale
14400,Madrid,Arganzuela,Acacias,40.40097,-3.70109,Pisos,ACACIAS,0,2,1.0,0,50.0,9999,0,0,1,1,0,0,0,0,0,1305,160000,4208.0,sale
