id,host_id,host_name,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_identity_verified,city,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,price_€,room_type,accommodates,bathrooms,bedrooms,beds,lift,heating,aircon,exterior,garden,pool,terrace,balcony,storage,amenity_score,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,reviews_per_month
75609,401552,Mercedes,1.0,0.88,F,2,2,F,Madrid,Embajadores,Centro,40.40892,-3.69697,62.37,Entire place,3,1,1,2,1,0,1,0,0,0,0,0,0,2,3,365,56,4.76,4.85,4.76,4.96,4.94,4.81,4.7,T,T,0.64
199016,967721,Santi,0.75,0.14,F,2,2,T,Madrid,Universidad,Centro,40.4257,-3.70383,27.72,Private room,1,1,1,1,1,0,0,0,0,0,0,0,0,1,2,365,25,4.46,4.7,4.7,4.74,4.63,4.96,4.54,T,F,0.34
318826,1636378,Francisco Tomas,1.0,1.0,T,1,1,F,Madrid,Aluche,Latina,40.39577,-3.75985,99.0,Entire place,4,1,3,3,1,0,1,0,0,0,0,1,1,4,5,1125,16,4.93,5.0,5.0,4.94,5.0,4.5,4.81,T,F,0.15
339813,1713273,Antonio,0.0,0.0,F,2,2,T,Madrid,Cortes,Centro,40.41204,-3.6975,79.2,Entire place,6,1,2,3,0,0,0,0,0,0,0,0,0,0,2,25,2,0.0,5.0,4.0,4.0,4.0,5.0,4.0,T,F,0.02
345233,1095831,Rosalind  & Tino,0.0,0.0,F,5,5,T,Madrid,Universidad,Centro,40.42504,-3.704,76.23,Private room,2,1,1,0,0,0,1,0,0,0,0,0,0,1,3,1125,4,5.0,5.0,5.0,5.0,5.0,5.0,5.0,T,F,0.04
416705,1958516,Almu Y Santi,0.3,0.6,F,2,2,T,Madrid,Entrevías,Puente de Vallecas,40.379,-3.67423,29.7,Private room,2,1,1,1,0,0,0,0,0,0,0,0,0,0,2,1125,66,4.75,4.58,4.61,4.63,4.79,4.27,4.61,T,F,0.63
425616,1724674,Servi-Madrid Servicios&Reformas,0.5,0.0,F,1,1,T,Madrid,Ibiza,Retiro,40.41999,-3.67493,148.5,Entire place,4,2,2,2,1,0,1,0,0,0,0,0,0,2,3,365,15,4.47,4.6,4.73,5.0,4.53,4.87,4.53,T,F,0.17
442986,2201302,Cesar,0.0,0.0,F,0,0,T,Madrid,Justicia,Centro,40.42389,-3.6977,95.03999999999999,Entire place,2,1,2,3,1,0,1,0,0,0,0,0,0,2,2,7,18,4.59,4.89,4.72,4.67,4.94,5.0,4.5,T,F,0.36
444113,2206218,Tomas,1.0,0.0,F,1,1,T,Madrid,Lucero,Latina,40.40182,-3.75334,24.75,Private room,2,1,1,1,1,0,0,0,0,0,0,0,0,1,1,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,T,F,0.0
516955,2545179,Gustavo,0.0,0.0,F,1,1,F,Madrid,Numancia,Puente de Vallecas,40.39786,-3.66776,24.75,Private room,2,0,1,2,0,0,1,0,0,0,0,0,0,1,2,365,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,T,F,0.0
