district,city,used_house_price,Evolución interanual
Salamanca,Madrid,6472,"9,1"
Retiro,Madrid,4984,"8,8"
Villa de Vallecas,Madrid,2490,8
Hortaleza,Madrid,3968,"7,6"
Chamberí,Madrid,5555,6
Centro,Madrid,5084,"5,7"
Usera,Madrid,2076,"5,6"
Puente de Vallecas,Madrid,1976,"5,5"
Moncloa,Madrid,4179,"5,3"
Fuencarral,Madrid,3707,"5,3"
Arganzuela,Madrid,4139,"5,3"
Chamartín,Madrid,5340,"4,8"
Tetuán,Madrid,3803,"4,3"
Ciudad Lineal,Madrid,3052,"4,1"
Carabanchel,Madrid,2179,"3,6"
Vicálvaro,Madrid,2533,"3,4"
Unknown,Madrid,3804,"2,3"
Barajas,Madrid,3241,"1,5"
Villaverde,Madrid,1728,"1,3"
Moratalaz,Madrid,2569,"0,9"
Latina,Madrid,2269,"0,5"
San Blas,Madrid,2551,"-0,1"
