city,district,latitude,longitude,neighbourhood,rent_price_€,sq_mt,bedrooms,bathrooms,type
Madrid,San Blas - Canillejas,40.42227,-3.60449,Rosas,1200,105.0,3,2,rent
Madrid,San Blas - Canillejas,40.42227,-3.60449,Rosas,1200,148.0,3,2,rent
Madrid,San Blas - Canillejas,40.42227,-3.60449,Rosas,1200,130.0,4,1,rent
Madrid,San Blas - Canillejas,40.42227,-3.60449,Rosas,1350,110.0,2,1,rent
Madrid,San Blas - Canillejas,40.42227,-3.60449,Rosas,1100,84.0,2,1,rent
Madrid,San Blas - Canillejas,40.42227,-3.60449,Rosas,1150,110.0,4,3,rent
Madrid,San Blas - Canillejas,40.42227,-3.60449,Rosas,1050,90.0,3,2,rent
Madrid,San Blas - Canillejas,40.42227,-3.60449,Rosas,900,60.0,3,2,rent
Madrid,San Blas - Canillejas,40.42227,-3.60449,Rosas,950,110.0,3,1,rent
Madrid,San Blas - Canillejas,40.42227,-3.60449,Rosas,1200,110.0,4,2,rent
Madrid,Fuencarral - El Pardo,40.487,-3.72192,Mirasierra,1400,90.0,3,1,rent
Madrid,Fuencarral - El Pardo,40.487,-3.72192,Mirasierra,1100,57.0,1,1,rent
Madrid,Fuencarral - El Pardo,40.487,-3.72192,Mirasierra,5750,875.0,6,2,rent
Madrid,Fuencarral - El Pardo,40.487,-3.72192,Mirasierra,2300,240.0,5,1,rent
Madrid,Fuencarral - El Pardo,40.487,-3.72192,Mirasierra,1200,110.0,2,3,rent
Madrid,Fuencarral - El Pardo,40.487,-3.72192,Mirasierra,2300,240.0,2,3,rent
Madrid,Fuencarral - El Pardo,40.487,-3.72192,Mirasierra,4000,340.0,2,1,rent
Madrid,Fuencarral - El Pardo,40.487,-3.72192,Mirasierra,3600,358.0,2,1,rent
Madrid,Fuencarral - El Pardo,40.487,-3.72192,Mirasierra,3700,370.0,2,1,rent
Madrid,Fuencarral - El Pardo,40.487,-3.72192,Mirasierra,1900,140.0,3,2,rent
Madrid,Fuencarral - El Pardo,40.487,-3.72192,Mirasierra,1200,110.0,3,6,rent
Madrid,Arganzuela,40.39848,-3.69692,Delicias,800,55.0,1,1,rent
Madrid,Arganzuela,40.39848,-3.69692,Delicias,650,34.0,1,1,rent
Madrid,Arganzuela,40.39848,-3.69692,Delicias,1500,126.0,2,0,rent
Madrid,Arganzuela,40.39848,-3.69692,Delicias,1300,93.0,2,1,rent
Madrid,Arganzuela,40.39848,-3.69692,Delicias,690,30.0,1,2,rent
Madrid,Arganzuela,40.39848,-3.69692,Delicias,1250,93.0,2,1,rent
Madrid,Arganzuela,40.39848,-3.69692,Delicias,1475,90.0,2,2,rent
Madrid,Arganzuela,40.39848,-3.69692,Delicias,750,35.0,1,1,rent
Madrid,Arganzuela,40.39848,-3.69692,Delicias,850,80.0,2,1,rent
Madrid,Arganzuela,40.39848,-3.69692,Delicias,950,75.0,2,1,rent
Madrid,Arganzuela,40.39848,-3.69692,Delicias,1435,123.0,2,1,rent
Madrid,Arganzuela,40.39848,-3.69692,Delicias,1400,65.0,2,2,rent
Madrid,Arganzuela,40.39848,-3.69692,Delicias,1100,80.0,2,1,rent
Madrid,Arganzuela,40.39848,-3.69692,Delicias,650,46.0,3,1,rent
Madrid,Fuencarral - El Pardo,40.48486,-3.70343,La Paz,1600,135.0,3,2,rent
Madrid,Fuencarral - El Pardo,40.48486,-3.70343,La Paz,950,48.0,2,0,rent
Madrid,Fuencarral - El Pardo,40.48486,-3.70343,La Paz,1000,90.0,1,2,rent
Madrid,Fuencarral - El Pardo,40.48486,-3.70343,La Paz,2200,147.0,2,4,rent
Madrid,Fuencarral - El Pardo,40.48486,-3.70343,La Paz,1500,157.0,2,4,rent
Madrid,Fuencarral - El Pardo,40.48486,-3.70343,La Paz,1150,124.0,1,2,rent
Madrid,Fuencarral - El Pardo,40.48486,-3.70343,La Paz,1600,120.0,2,1,rent
Madrid,Fuencarral - El Pardo,40.48486,-3.70343,La Paz,2500,140.0,3,2,rent
Madrid,Fuencarral - El Pardo,40.48486,-3.70343,La Paz,1200,53.0,3,1,rent
