id,district,neighbourhood,latitude,longitude,house_type_id,street_name,street_number,n_rooms,n_bathrooms,floor,sq_mt_built,built_year,heating,aircon,lift,exterior,garden,pool,terrace,balcony,storage_room,rent_price,buy_price,sq_m_price_€/m2,type
21742,Villaverde,San Cristobal,40.34326,-3.6875,Pisos,Calle de Godella,64,2,1.0,3,64.0,1960,0,1,0,1,0,0,0,0,0,693,85000,1308.89,sale
21728,Villaverde,San Cristobal,40.34326,-3.6875,Pisos,Calle GODELLA,0,3,1.0,3,64.0,1960,1,0,0,1,0,0,1,0,0,587,72000,1308.89,sale
21654,Villaverde,San Cristobal,40.34326,-3.6875,Pisos,Calle Moncada,0,3,1.0,1,65.0,9999,1,1,0,1,0,0,1,0,0,767,94000,1308.89,sale
21584,Villaverde,San Cristobal,40.34326,-3.6875,Pisos,Calle MONCADA,0,3,1.0,1,66.0,9999,1,0,1,1,0,0,1,0,0,856,104900,1308.89,sale
21582,Villaverde,San Cristobal,40.34326,-3.6875,Pisos,Calle de Paterna,0,3,1.0,1,74.0,1968,0,0,0,1,0,0,0,0,0,816,100000,1308.89,sale
21576,Villaverde,San Cristobal,40.34326,-3.6875,Pisos,Benimamet,0,3,1.0,4,69.0,1961,0,0,0,1,0,0,1,0,1,873,107000,1308.89,sale
21550,Villaverde,San Cristobal,40.34326,-3.6875,Pisos,GODELLA,0,2,2.0,5,95.0,2011,1,0,1,1,0,0,0,0,1,1501,184000,1308.89,sale
21536,Villaverde,San Cristobal,40.34326,-3.6875,Pisos,Rocafort,0,2,1.0,5,60.0,1960,1,1,1,1,0,0,0,0,0,595,73000,1308.89,sale
21530,Villaverde,San Cristobal,40.34326,-3.6875,Pisos,Calle Moncada,0,2,1.0,2,65.0,1962,1,0,0,1,0,0,0,0,0,897,110000,1308.89,sale
21524,Villaverde,San Cristobal,40.34326,-3.6875,Pisos,Calle Benimamet,0,2,1.0,2,63.0,9999,1,0,1,1,0,0,0,0,0,671,82260,1308.89,sale
21520,Villaverde,San Cristobal,40.34326,-3.6875,Pisos,Calle de Beniferri,0,3,1.0,2,66.0,9999,0,0,0,1,0,0,0,0,0,718,88000,1308.89,sale
21507,Villaverde,San Cristobal,40.34326,-3.6875,Pisos,burjasot,0,3,1.0,3,70.0,9999,0,1,1,1,0,0,0,0,0,808,99000,1308.89,sale
21506,Villaverde,San Cristobal,40.34326,-3.6875,Pisos,Calle de Beniferri,63,3,1.0,2,60.0,1960,1,1,0,0,0,0,0,0,0,608,74550,1308.89,sale
21496,Villaverde,San Cristobal,40.34326,-3.6875,Pisos,Calle de Rocafort,0,3,1.0,4,68.0,9999,0,0,0,1,0,0,0,0,0,684,83900,1308.89,sale
21494,Villaverde,San Cristobal,40.34326,-3.6875,Pisos,BENIFERRI,0,3,1.0,1,64.0,9999,1,1,0,1,0,0,0,0,0,620,76000,1308.89,sale
21482,Villaverde,San Cristobal,40.34326,-3.6875,Pisos,Calle de Beniferri,0,3,1.0,2,68.0,9999,1,0,0,1,0,0,0,0,0,718,88000,1308.89,sale
21478,Villaverde,San Cristobal,40.34326,-3.6875,Pisos,Calle de Rocafort,14 j,1,1.0,0,30.0,1960,0,0,0,1,0,0,0,0,0,481,59000,1308.89,sale
21473,Villaverde,San Cristobal,40.34326,-3.6875,Pisos,Calle de Rocafort,0,2,1.0,2,66.0,9999,0,1,0,1,0,0,0,0,0,783,96000,1308.89,sale
21472,Villaverde,San Cristobal,40.34326,-3.6875,Pisos,Calle de Benimamet,6,3,1.0,4,63.0,1960,1,0,0,1,0,0,0,0,0,669,82000,1308.89,sale
21461,Villaverde,San Cristobal,40.34326,-3.6875,Pisos,Plaza Pinazo,0,3,2.0,1,83.0,9999,0,0,1,1,0,0,0,0,0,905,111000,1308.89,sale
21456,Villaverde,San Cristobal,40.34326,-3.6875,Pisos,Calle de Rocafort,0,3,1.0,4,61.0,1960,0,1,0,1,0,0,0,0,0,726,89000,1308.89,sale
21454,Villaverde,San Cristobal,40.34326,-3.6875,Pisos,Calle Beniferri,0,3,1.0,2,68.0,9999,1,0,0,1,0,0,0,0,0,767,94000,1308.89,sale
21439,Villaverde,San Cristobal,40.34326,-3.6875,Pisos,Calle de rocafort,51,4,1.0,0,42.0,9999,0,0,0,0,0,0,0,0,0,782,95900,1308.89,sale
21434,Villaverde,San Cristobal,40.34326,-3.6875,Pisos,"Calle de Benimamet, Madrid",0,2,1.0,3,60.0,9999,0,1,0,1,0,0,0,0,0,775,95000,1308.89,sale
21430,Villaverde,San Cristobal,40.34326,-3.6875,Pisos,Calle de Rocafort,0,3,1.0,3,82.0,9999,0,0,0,1,0,0,0,0,0,684,83900,1308.89,sale
21400,Villaverde,San Cristobal,40.34326,-3.6875,Pisos,Calle de Rocafort,51,4,1.0,0,42.0,9999,0,0,0,0,0,0,1,0,0,782,95900,1308.89,sale
21394,Villaverde,San Cristobal,40.34326,-3.6875,Pisos,Plaza Pinazo,0,4,2.0,2,130.0,9999,1,0,1,1,0,0,0,0,0,1370,168000,1308.89,sale
21389,Villaverde,San Cristobal,40.34326,-3.6875,Pisos,Calle Moncada,115,2,1.0,2,64.0,9999,0,0,0,0,0,0,1,0,0,897,110000,1308.89,sale
21388,Villaverde,San Cristobal,40.34326,-3.6875,Pisos,rocafort,0,4,1.0,3,69.0,9999,0,0,0,1,0,0,1,0,0,701,85900,1308.89,sale
21386,Villaverde,San Cristobal,40.34326,-3.6875,Pisos,Calle de Rocafort,17,3,1.0,2,70.0,9999,0,0,0,0,0,0,0,0,0,1162,142500,1308.89,sale
21381,Villaverde,San Cristobal,40.34326,-3.6875,Pisos,Calle de Paterna,48,3,1.0,2,76.0,9999,0,0,1,1,0,0,1,0,0,897,110000,1308.89,sale
21378,Villaverde,San Cristobal,40.34326,-3.6875,Pisos,Plaza Pinazo,27,3,1.0,1,70.0,9999,0,0,0,1,0,0,1,0,0,693,85000,1308.89,sale
21372,Villaverde,San Cristobal,40.34326,-3.6875,Pisos,Calle de Beniferri,12,3,1.0,1,60.0,9999,1,0,1,1,0,0,0,0,0,979,120000,1308.89,sale
21370,Villaverde,San Cristobal,40.34326,-3.6875,Pisos,Calle de Godella,227,3,1.0,4,60.0,9999,0,0,0,1,0,0,0,0,0,1142,140000,1308.89,sale
21366,Villaverde,San Cristobal,40.34326,-3.6875,Pisos,Calle de Godella,219,3,1.0,4,60.0,9999,0,0,0,1,0,0,0,0,0,1183,145000,1308.89,sale
21349,Villaverde,San Cristobal,40.34326,-3.6875,Pisos,Calle de Paterna,17,3,1.0,4,75.0,9999,1,0,1,1,0,0,0,0,0,1264,155000,1308.89,sale
