district,neighbourhood,latitude,longitude
Arganzuela,Acacias,40.40097,-3.70109
Arganzuela,Atocha,40.40152,-3.68443
Arganzuela,Chopera,40.39445,-3.69626
Arganzuela,Delicias,40.39848,-3.69692
Arganzuela,Imperial,40.41327,-3.71866
Arganzuela,Legazpi,40.38999,-3.69111
Arganzuela,Palos de Moguer,40.40613,-3.69695
Barajas,Aeropuerto,40.498534,-3.544844145
Barajas,Alameda de Osuna,40.45771,-3.58661
Barajas,Casco Histórico de Barajas,40.47279,-3.57917
Barajas,Corralejos,40.46463,-3.59633
Barajas,Timón,40.47557,-3.58331
Carabanchel,Abrantes,40.37604,-3.73305
Carabanchel,Buenavista,40.36127,-3.7605
Carabanchel,Carabanchel,40.387282,-3.7503787
Carabanchel,Comillas,40.39587,-3.71356
Carabanchel,Opañel,40.39431,-3.7204
Carabanchel,Pau de Carabanchel,40.3729752,-3.7397766
Carabanchel,Puerta Bonita,40.38077,-3.73497
Carabanchel,San Isidro,40.39936,-3.73334
Carabanchel,Vista Alegre,40.3886,-3.7378
Centro,Centro,40.4179105,-3.7041195
Centro,Cortes,40.41204,-3.6975
Centro,Embajadores,40.40892,-3.69697
Centro,Justicia,40.42389,-3.6977
Centro,Palacio,40.41163,-3.70822
Centro,Sol,40.4156,-3.70415
Centro,Universidad,40.4257,-3.70383
Chamartín,Castilla,40.47734,-3.68417
Chamartín,Chamartín,40.4721165,-3.6849033
Chamartín,Ciudad Jardín,40.44815,-3.67417
Chamartín,El Viso,40.44397,-3.68932
Chamartín,Hispanoamérica,40.45446,-3.66849
Chamartín,Nueva España,40.46375,-3.68034
Chamartín,Prosperidad,40.44317,-3.67298
Chamberí,Almagro,40.43616,-3.69833
Chamberí,Arapiles,40.43187,-3.71149
Chamberí,Chamberí,40.4354064,-3.7038284
Chamberí,Gaztambide,40.43344,-3.7146
Chamberí,Rios Rosas,40.44039,-3.69812
Chamberí,Trafalgar,40.42951,-3.7019
Chamberí,Vallehermoso,40.44279,-3.71603
Ciudad Lineal,Atalaya,40.46349,-3.66654
Ciudad Lineal,Colina,40.45694,-3.65955
Ciudad Lineal,Concepción,40.43713,-3.65338
Ciudad Lineal,Costillares,40.47655,-3.67078
Ciudad Lineal,Pueblo Nuevo,40.41636,-3.62498
Ciudad Lineal,Quintana,40.43667,-3.64571
Ciudad Lineal,San Juan Bautista,40.45393,-3.65571
Ciudad Lineal,San Pascual,40.44379,-3.64932
Ciudad Lineal,Ventas,40.42739,-3.65618
Fuencarral - El Pardo,Arroyo del Fresno,40.4911067,-3.7272431
